2026-07-22 12:55:49 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 12:55:50 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 12:56:39 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 14:24:46 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 14:24:47 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 14:24:47 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 14:24:50 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 14:24:50 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 14:24:50 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 14:25:09 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 14:25:27 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 14:25:27 | INFO | agents.tool_registry | Retriever Tool invoked for query: company policy on employee leave and notice period
2026-07-22 14:25:27 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 14:32:00 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 14:32:01 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 14:32:01 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 14:32:04 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 14:32:04 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 14:32:04 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 14:32:04 | INFO | ingestion.retriever | Policy Retriever initialized successfully.
2026-07-22 14:32:21 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 14:32:21 | INFO | agents.tool_registry | Retriever Tool invoked for query: annual leave entitlement policy for employees
2026-07-22 14:32:21 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 14:58:43 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 14:58:44 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 14:58:44 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 14:58:45 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 14:58:45 | INFO | ingestion.retriever | Policy Retriever initialized successfully.
2026-07-22 15:00:29 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 15:00:29 | INFO | agents.tool_registry | Retriever Tool invoked for query: annual leave entitlement policy Nimbus Technologies Pvt. Ltd.
2026-07-22 15:00:29 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 15:00:29 | INFO | tools.retriever_tool | PolicyRetrieverTool invoked.
2026-07-22 15:00:29 | INFO | tools.retriever_tool | Query: annual leave entitlement policy Nimbus Technologies Pvt. Ltd.
2026-07-22 15:00:29 | INFO | ingestion.retriever | Retrieving documents for query: annual leave entitlement policy Nimbus Technologies Pvt. Ltd.
2026-07-22 15:00:30 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-07-22 15:00:30 | INFO | ingestion.retriever | Retrieved 5 candidate chunks.
2026-07-22 15:00:30 | INFO | ingestion.retriever | Distance Score: 0.3433 | Source: 01_Leave_and_Attendance_Policy.pdf
2026-07-22 15:00:30 | INFO | ingestion.retriever | Score: 0.3433 | Threshold Passed: True
2026-07-22 15:00:30 | INFO | ingestion.retriever | Distance Score: 0.6895 | Source: 06_Employee_Benefits_Guide.pdf
2026-07-22 15:00:30 | INFO | ingestion.retriever | Score: 0.6895 | Threshold Passed: True
2026-07-22 15:00:30 | INFO | ingestion.retriever | Distance Score: 0.7377 | Source: 06_Employee_Benefits_Guide.pdf
2026-07-22 15:00:30 | INFO | ingestion.retriever | Score: 0.7377 | Threshold Passed: True
2026-07-22 15:00:30 | INFO | ingestion.retriever | Distance Score: 0.7636 | Source: 02_Remote_and_Hybrid_Work_Policy.pdf
2026-07-22 15:00:30 | INFO | ingestion.retriever | Score: 0.7636 | Threshold Passed: True
2026-07-22 15:00:30 | INFO | ingestion.retriever | Distance Score: 0.8088 | Source: 04_Travel_and_Expense_Policy.pdf
2026-07-22 15:00:30 | INFO | ingestion.retriever | Score: 0.8088 | Threshold Passed: True
2026-07-22 15:00:30 | INFO | ingestion.retriever | 5 chunks passed grounding threshold.
2026-07-22 15:00:30 | INFO | tools.retriever_tool | 5 relevant chunk(s) retrieved.
2026-07-22 15:00:30 | INFO | tools.retriever_tool | Chunk 1 | 01_Leave_and_Attendance_Policy.pdf | Page 1 | Score 0.3433
2026-07-22 15:00:33 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 15:00:58 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 15:00:58 | INFO | agents.tool_registry | Retriever Tool invoked for query: HR policies
2026-07-22 15:00:58 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 15:00:58 | INFO | tools.retriever_tool | PolicyRetrieverTool invoked.
2026-07-22 15:00:58 | INFO | tools.retriever_tool | Query: HR policies
2026-07-22 15:00:58 | INFO | ingestion.retriever | Retrieving documents for query: HR policies
2026-07-22 15:00:58 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-07-22 15:00:59 | INFO | ingestion.retriever | Retrieved 5 candidate chunks.
